Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type,image_path_0,image_path_1,image_path_2
Amrut Cask Strength,8.78,0.41,14,125,SingleMalt-like,GH,G,India,Malt,data/images/Amrut_Cask_Strength_0.jpg,data/images/Amrut_Cask_Strength_1.jpg,data/images/Amrut_Cask_Strength_2.jpg
Mackmyra Moment Korsbar,8.55,0.27,3,300,SingleMalt-like,ABC,B,Sweden,Malt,data/images/Mackmyra_Moment_Korsbar_0.jpg,data/images/Mackmyra_Moment_Korsbar_1.jpg,data/images/Mackmyra_Moment_Korsbar_2.jpg
Laphroaig 10yo,8.78,0.29,29,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Laphroaig_10yo_0.jpg,data/images/Laphroaig_10yo_1.jpg,data/images/Laphroaig_10yo_2.jpg
Glenfiddich Cask of Dreams,8.73,0.21,8,300,SingleMalt-like,EF,F,Scotland,Malt,data/images/Glenfiddich_Cask_of_Dreams_0.jpg,data/images/Glenfiddich_Cask_of_Dreams_1.jpg,data/images/Glenfiddich_Cask_of_Dreams_2.jpg
Ileach Peated Islay Cask Strength,8.66,0.4,14,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Ileach_Peated_Islay_Cask_Strength_0.jpg,data/images/Ileach_Peated_Islay_Cask_Strength_1.jpg,data/images/Ileach_Peated_Islay_Cask_Strength_2.jpg
Longrow CV,8.79,0.33,18,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Longrow_CV_0.jpg,data/images/Longrow_CV_1.jpg,data/images/Longrow_CV_2.jpg
Tyrconnell 10yo Sherry Cask Finish,8.43,0.34,9,125,SingleMalt-like,ABC,B,Ireland,Malt,data/images/Tyrconnell_10yo_Sherry_Cask_Finish_0.jpg,data/images/Tyrconnell_10yo_Sherry_Cask_Finish_1.jpg,data/images/Tyrconnell_10yo_Sherry_Cask_Finish_2.jpg
Midleton Barry Crockett Legacy,9.1,0.23,16,300,SingleMalt-like,GH,G,Ireland,Blend,data/images/Midleton_Barry_Crockett_Legacy_0.jpg,data/images/Midleton_Barry_Crockett_Legacy_1.jpg,data/images/Midleton_Barry_Crockett_Legacy_2.jpg
Kavalan Solist Manzanilla Cask,9.02,0.21,10,300,SingleMalt-like,ABC,C,Taiwan,Malt,data/images/Kavalan_Solist_Manzanilla_Cask_0.jpg,data/images/Kavalan_Solist_Manzanilla_Cask_1.jpg,data/images/Kavalan_Solist_Manzanilla_Cask_2.jpg
Compass Box Peat Monster 2005,8.71,0.09,4,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_Peat_Monster_2005_0.jpg,data/images/Compass_Box_Peat_Monster_2005_1.jpg,data/images/Compass_Box_Peat_Monster_2005_2.jpg
Glen Breton Ice 17yo,8.8,0.09,4,300,SingleMalt-like,GH,G,Canada,Malt,data/images/Glen_Breton_Ice_17yo_0.jpg,data/images/Glen_Breton_Ice_17yo_1.jpg,data/images/Glen_Breton_Ice_17yo_2.jpg
Knappogue Castle 12yo,8.41,0.37,16,70,SingleMalt-like,GH,G,Ireland,Malt,data/images/Knappogue_Castle_12yo_0.jpg,data/images/Knappogue_Castle_12yo_1.jpg,data/images/Knappogue_Castle_12yo_2.jpg
Mackmyra Svensk Ek,8.47,0.44,5,125,SingleMalt-like,GH,H,Sweden,Malt,data/images/Mackmyra_Svensk_Ek_0.jpg,data/images/Mackmyra_Svensk_Ek_1.jpg,data/images/Mackmyra_Svensk_Ek_2.jpg
Auchentoshan 10yo,7.74,0.37,10,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Auchentoshan_10yo_0.jpg,data/images/Auchentoshan_10yo_1.jpg,data/images/Auchentoshan_10yo_2.jpg
AnCnoc 1975,8.95,0.55,5,300,SingleMalt-like,ABC,B,Scotland,Malt,data/images/AnCnoc_1975_0.jpg,data/images/AnCnoc_1975_1.jpg,data/images/AnCnoc_1975_2.jpg
Glen Spey 12yo (F&F),8.06,0.44,5,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Glen_Spey_12yo_(F&F)_0.jpg,data/images/Glen_Spey_12yo_(F&F)_1.jpg,data/images/Glen_Spey_12yo_(F&F)_2.jpg
Compass Box Peat Monster 2008 Reserve Edition,8.93,0.19,3,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_Peat_Monster_2008_Reserve_Edition_0.jpg,data/images/Compass_Box_Peat_Monster_2008_Reserve_Edition_1.jpg,data/images/Compass_Box_Peat_Monster_2008_Reserve_Edition_2.jpg
Balvenie TUN 1509 (all batches),8.91,0.18,13,300,SingleMalt-like,ABC,B,Scotland,Malt,data/images/Balvenie_TUN_1509_(all_batches)_0.jpg,data/images/Balvenie_TUN_1509_(all_batches)_1.jpg,data/images/Balvenie_TUN_1509_(all_batches)_2.jpg
Cardhu Amber Rock,8.11,0.39,5,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Cardhu_Amber_Rock_0.jpg,data/images/Cardhu_Amber_Rock_1.jpg,data/images/Cardhu_Amber_Rock_2.jpg
Paul John Peated Select Cask,8.7,0.29,11,125,SingleMalt-like,I,I,India,Malt,data/images/Paul_John_Peated_Select_Cask_0.jpg,data/images/Paul_John_Peated_Select_Cask_1.jpg,data/images/Paul_John_Peated_Select_Cask_2.jpg
Bunnahabhain 25yo,8.9,0.31,21,300,SingleMalt-like,ABC,B,Scotland,Malt,data/images/Bunnahabhain_25yo_0.jpg,data/images/Bunnahabhain_25yo_1.jpg,data/images/Bunnahabhain_25yo_2.jpg
Stronachie 12yo,8.17,0.36,9,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Stronachie_12yo_0.jpg,data/images/Stronachie_12yo_1.jpg,data/images/Stronachie_12yo_2.jpg
Amrut PX Sherry Single Cask (all casks),8.81,0.46,17,125,SingleMalt-like,ABC,A,India,Malt,data/images/Amrut_PX_Sherry_Single_Cask_(all_casks)_0.jpg,data/images/Amrut_PX_Sherry_Single_Cask_(all_casks)_1.jpg,data/images/Amrut_PX_Sherry_Single_Cask_(all_casks)_2.jpg
Cardhu 12yo,8.05,0.5,21,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Cardhu_12yo_0.jpg,data/images/Cardhu_12yo_1.jpg,data/images/Cardhu_12yo_2.jpg
Connemara Peated Single Malt,8.18,0.29,20,70,SingleMalt-like,I,I,Ireland,Malt,data/images/Connemara_Peated_Single_Malt_0.jpg,data/images/Connemara_Peated_Single_Malt_1.jpg,data/images/Connemara_Peated_Single_Malt_2.jpg
Ardbeg 10yo,8.88,0.35,30,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Ardbeg_10yo_0.jpg,data/images/Ardbeg_10yo_1.jpg,data/images/Ardbeg_10yo_2.jpg
Mackmyra Midnattssol,8.09,0.64,6,125,SingleMalt-like,GH,H,Sweden,Malt,data/images/Mackmyra_Midnattssol_0.jpg,data/images/Mackmyra_Midnattssol_1.jpg,data/images/Mackmyra_Midnattssol_2.jpg
Glen Grant 12yo,8.29,0.49,11,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Glen_Grant_12yo_0.jpg,data/images/Glen_Grant_12yo_1.jpg,data/images/Glen_Grant_12yo_2.jpg
Compass Box Peat Monster 2014 - 10th Anniversary,8.99,0.29,12,70,SingleMalt-like,J,J,Scotland,Malt,data/images/Compass_Box_Peat_Monster_2014_-_10th_Anniversary_0.jpg,data/images/Compass_Box_Peat_Monster_2014_-_10th_Anniversary_1.jpg,data/images/Compass_Box_Peat_Monster_2014_-_10th_Anniversary_2.jpg
Glendalough 7yo Single Malt,8.24,0.31,8,70,SingleMalt-like,GH,G,Ireland,Malt,data/images/Glendalough_7yo_Single_Malt_0.jpg,data/images/Glendalough_7yo_Single_Malt_1.jpg,data/images/Glendalough_7yo_Single_Malt_2.jpg
Deveron 10yo,8.26,0.77,3,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Deveron_10yo_0.jpg,data/images/Deveron_10yo_1.jpg,data/images/Deveron_10yo_2.jpg
Mackinlay's Shackleton Blended Malt,8.25,0.38,8,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Mackinlay's_Shackleton_Blended_Malt_0.jpg,data/images/Mackinlay's_Shackleton_Blended_Malt_1.jpg,data/images/Mackinlay's_Shackleton_Blended_Malt_2.jpg
Ichiro's Malt Mizunara Wood Reserve (MWR),8.34,0.51,15,300,SingleMalt-like,GH,H,Japan,Malt,data/images/Ichiro's_Malt_Mizunara_Wood_Reserve_(MWR)_0.jpg,data/images/Ichiro's_Malt_Mizunara_Wood_Reserve_(MWR)_1.jpg,data/images/Ichiro's_Malt_Mizunara_Wood_Reserve_(MWR)_2.jpg
BenRiach Heart of Speyside,7.81,0.69,8,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/BenRiach_Heart_of_Speyside_0.jpg,data/images/BenRiach_Heart_of_Speyside_1.jpg,data/images/BenRiach_Heart_of_Speyside_2.jpg
Auchentoshan Valinch,8.34,0.64,15,70,SingleMalt-like,GH,H,Scotland,Malt,data/images/Auchentoshan_Valinch_0.jpg,data/images/Auchentoshan_Valinch_1.jpg,data/images/Auchentoshan_Valinch_2.jpg
